2021-08-05 02:51:07,821-INFO:start training on dataset user:4442, item:5351, project:200
2021-08-05 02:51:07,833-INFO:total model parameters: 942080
2021-08-05 02:57:17,829-INFO:test start. test set size: 175
2021-08-05 02:57:17,896-INFO:test end time: 0.06645846366882324s
2021-08-05 02:57:17,902-WARNING:method level => top 1 : best suc 0.131429, best pre 0.131429,  best recall 0.015851
2021-08-05 02:57:17,902-WARNING:project level => top 1 : best suc 0.153774, best pre 0.153774,  best recall 0.019371
2021-08-05 02:57:17,905-WARNING:method level => top 2 : best suc 0.297143, best pre 0.154286,  best recall 0.042392
2021-08-05 02:57:17,905-WARNING:project level => top 2 : best suc 0.281439, best pre 0.148495,  best recall 0.041646
2021-08-05 02:57:17,908-WARNING:method level => top 3 : best suc 0.354286, best pre 0.125714,  best recall 0.050906
2021-08-05 02:57:17,908-WARNING:project level => top 3 : best suc 0.376469, best pre 0.133889,  best recall 0.053232
2021-08-05 02:57:17,911-WARNING:method level => top 4 : best suc 0.382857, best pre 0.105714,  best recall 0.057189
2021-08-05 02:57:17,911-WARNING:project level => top 4 : best suc 0.403965, best pre 0.116063,  best recall 0.060928
2021-08-05 02:57:17,915-WARNING:method level => top 5 : best suc 0.400000, best pre 0.096000,  best recall 0.065875
2021-08-05 02:57:17,915-WARNING:project level => top 5 : best suc 0.414742, best pre 0.099442,  best recall 0.065192
2021-08-05 02:57:17,918-WARNING:method level => top 6 : best suc 0.422857, best pre 0.086667,  best recall 0.071801
2021-08-05 02:57:17,918-WARNING:project level => top 6 : best suc 0.426647, best pre 0.087484,  best recall 0.068919
2021-08-05 02:57:17,921-WARNING:method level => top 7 : best suc 0.462857, best pre 0.089796,  best recall 0.084804
2021-08-05 02:57:17,921-WARNING:project level => top 7 : best suc 0.461056, best pre 0.092353,  best recall 0.082112
2021-08-05 02:57:17,924-WARNING:method level => top 8 : best suc 0.462857, best pre 0.087143,  best recall 0.091599
2021-08-05 02:57:17,924-WARNING:project level => top 8 : best suc 0.461056, best pre 0.089596,  best recall 0.090058
2021-08-05 02:57:17,927-WARNING:method level => top 9 : best suc 0.468571, best pre 0.082540,  best recall 0.098978
2021-08-05 02:57:17,927-WARNING:project level => top 9 : best suc 0.465442, best pre 0.083764,  best recall 0.096047
2021-08-05 02:57:17,930-WARNING:method level => top 10 : best suc 0.520000, best pre 0.082857,  best recall 0.110703
2021-08-05 02:57:17,930-WARNING:project level => top 10 : best suc 0.487153, best pre 0.081181,  best recall 0.102245
